k,c_v,topic_id,top_keywords
10,0.34566523662644955,6,"target, information, task, dialogue, processing, corresponding, result, classification, field, technical, image, sub, equipment, determining, first"
10,0.34566523662644955,7,"user, content, video, information, target, recommendation, current, operation, service, generation, work, corresponding, order, commodity, first"
10,0.34566523662644955,8,"question, text, answer, target, first, query, information, corresponding, result, user, obtain, problem, statement, knowledge, second"
10,0.34566523662644955,9,"code, test, information, system, data, control, interaction, interface, application, operation, agent, security, user, case, analysis"
11,0.3641761978159528,0,"question, data, answer, user, knowledge, training, evaluation, obtain, field, questions, text, answering, improved, set, module"
11,0.3641761978159528,1,"one, data, user, first, may, system, llm, least, using, input, includes, generate, query, plurality, response"
11,0.3641761978159528,2,"image, feature, text, modal, multi, data, first, obtain, vector, visual, features, semantic, training, second, processing"
11,0.3641761978159528,3,"information, data, text, target, processing, voice, obtain, user, recognition, corresponding, improved, document, description, result, medium"
11,0.3641761978159528,4,"data, set, first, training, second, candidate, result, word, obtain, reasoning, value, target, sample, corresponding, preset"
11,0.3641761978159528,5,"knowledge, graph, data, information, target, entity, task, corresponding, obtain, fault, field, result, equipment, base, node"
11,0.3641761978159528,6,"target, information, task, processing, corresponding, sub, agent, result, field, technical, dialogue, equipment, determining, user, relates"
11,0.3641761978159528,7,"video, user, content, information, target, recommendation, audio, object, current, data, corresponding, feature, generation, scene, obtain"
11,0.3641761978159528,8,"text, target, first, question, query, statement, second, obtain, information, corresponding, data, answer, result, field, sample"
11,0.3641761978159528,9,"code, data, test, analysis, system, detection, information, control, power, target, operation, case, generation, service, time"
11,0.3641761978159528,10,"information, retrieval, data, demand, target, event, user, obtain, tool, vector, result, processing, text, set, query"
12,0.3502173073619666,0,"question, answer, knowledge, data, user, text, questions, answering, training, problem, evaluation, field, target, retrieval, answers"
12,0.3502173073619666,1,"one, data, user, first, may, system, llm, least, using, input, includes, generate, query, plurality, response"
12,0.3502173073619666,2,"image, feature, modal, multi, text, data, semantic, visual, obtain, vector, features, layer, first, point, fusion"
12,0.3502173073619666,3,"information, text, target, data, voice, recognition, obtain, description, processing, corresponding, document, user, improved, content, medium"
12,0.3502173073619666,4,"data, set, training, first, query, word, second, obtain, result, candidate, sample, statement, target, reasoning, value"
12,0.3502173073619666,5,"knowledge, graph, task, data, entity, information, target, text, corresponding, sub, obtain, field, base, system, reasoning"
12,0.3502173073619666,6,"target, information, task, processing, technical, image, field, corresponding, agent, sub, result, equipment, obtain, generation, problem"
12,0.3502173073619666,7,"video, user, information, recommendation, content, audio, target, sequence, current, generation, corresponding, feature, object, scene, power"
12,0.3502173073619666,8,"text, first, target, second, information, sample, result, obtain, feature, instruction, corresponding, obtaining, risk, field, tool"
12,0.3502173073619666,9,"code, test, detection, agent, information, case, classification, function, analysis, generation, system, medical, data, interface, target"
12,0.3502173073619666,10,"information, retrieval, vector, event, text, data, obtain, document, result, set, target, inspection, user, performing, word"
12,0.3502173073619666,11,"data, information, user, target, service, processing, analysis, operation, corresponding, equipment, obtain, result, table, field, first"
13,0.3701569670753951,0,"question, answer, knowledge, user, data, questions, answering, text, field, problem, training, answers, retrieval, evaluation, improved"
13,0.3701569670753951,1,"one, data, user, first, may, least, llm, using, input, system, includes, query, generate, associated, response"
13,0.3701569670753951,2,"image, feature, modal, multi, text, semantic, first, vector, visual, obtain, data, features, point, fusion, key"
13,0.3701569670753951,3,"text, information, target, data, voice, recognition, description, obtain, processing, document, corresponding, improved, medium, preset, technical"
13,0.3701569670753951,4,"data, set, training, first, sample, query, result, second, obtain, candidate, word, statement, target, reasoning, prompt"
13,0.3701569670753951,5,"knowledge, graph, task, data, entity, target, information, sub, corresponding, base, obtain, text, field, result, improved"
13,0.3701569670753951,6,"target, information, task, processing, field, corresponding, technical, image, result, sub, equipment, generation, determining, obtain, relates"
13,0.3701569670753951,7,"video, content, user, information, recommendation, target, audio, current, corresponding, generation, object, short, page, sequence, obtain"
13,0.3701569670753951,8,"text, target, first, second, obtain, information, corresponding, vector, field, word, obtaining, sample, question, event, result"
13,0.3701569670753951,9,"code, test, detection, information, medical, case, generation, analysis, security, target, function, data, vulnerability, improved, report"
13,0.3701569670753951,10,"information, retrieval, demand, user, result, target, vector, tool, instruction, query, obtain, list, text, input, processing"
13,0.3701569670753951,11,"data, information, user, target, service, processing, operation, analysis, corresponding, equipment, obtain, result, table, first, field"
13,0.3701569670753951,12,"system, data, agent, module, power, multi, code, intelligent, control, application, interface, api, network, error, used"
14,0.35136894918543693,0,"data, training, evaluation, fine, text, user, tuning, network, set, improved, field, prediction, generation, pre, obtain"
14,0.35136894918543693,1,"one, first, data, user, may, least, llm, system, input, using, includes, query, generate, associated, response"
14,0.35136894918543693,2,"image, text, semantic, point, first, frame, visual, feature, key, description, second, obtain, training, multi, equipment"
14,0.35136894918543693,3,"text, information, target, recognition, voice, data, description, document, obtain, processing, corresponding, improved, intention, preset, prompt"
14,0.35136894918543693,4,"set, data, first, training, candidate, second, word, reasoning, result, value, obtain, target, initial, matrix, performing"
14,0.35136894918543693,5,"knowledge, graph, data, entity, target, base, information, task, corresponding, obtain, text, field, multi, fault, constructing"
14,0.35136894918543693,6,"target, information, task, image, processing, sub, field, corresponding, technical, equipment, result, determining, resource, agent, provides"
14,0.35136894918543693,7,"video, content, user, information, recommendation, target, audio, object, scene, generation, corresponding, action, instruction, recommended, improved"
14,0.35136894918543693,8,"text, feature, target, features, first, obtain, vector, risk, performing, word, result, data, information, corresponding, field"
14,0.35136894918543693,9,"code, test, medical, information, case, detection, agent, analysis, generation, execution, function, target, intelligent, interface, vulnerability"
14,0.35136894918543693,10,"information, retrieval, text, demand, user, vector, obtain, event, target, sequence, performing, instruction, document, set, inspection"
14,0.35136894918543693,11,"data, information, target, user, service, processing, operation, analysis, equipment, corresponding, result, obtain, first, field, preset"
14,0.35136894918543693,12,"data, multi, system, modal, power, module, agent, error, used, detection, application, interface, api, control, text"
14,0.35136894918543693,13,"question, answer, first, text, target, sample, information, query, statement, second, data, corresponding, problem, result, obtain"
15,0.35248057326144283,0,"data, evaluation, training, network, text, fine, user, module, improved, knowledge, field, obtain, generation, set, prediction"
15,0.35248057326144283,1,"one, data, first, user, may, least, using, llm, input, includes, system, query, generate, associated, plurality"
15,0.35248057326144283,2,"image, text, visual, point, semantic, first, key, modal, multi, token, vector, description, obtain, equipment, training"
15,0.35248057326144283,3,"text, information, target, data, voice, recognition, description, obtain, corresponding, user, processing, document, dialogue, improved, prompt"
15,0.35248057326144283,4,"set, data, training, first, reasoning, candidate, second, result, target, obtain, word, value, text, performing, medical"
15,0.35248057326144283,5,"knowledge, graph, entity, information, target, data, base, corresponding, task, obtain, field, text, fault, performing, improved"
15,0.35248057326144283,6,"target, information, image, technical, processing, field, task, corresponding, result, equipment, obtain, generation, sub, object, provides"
15,0.35248057326144283,7,"video, user, content, information, recommendation, target, audio, corresponding, current, generation, scene, object, obtain, frame, recommended"
15,0.35248057326144283,8,"text, feature, target, features, obtain, risk, first, performing, information, field, data, result, obtaining, element, image"
15,0.35248057326144283,9,"test, medical, code, case, interaction, information, analysis, function, agent, target, data, vulnerability, intelligent, configuration, execution"
15,0.35248057326144283,10,"information, retrieval, vector, text, query, document, obtain, demand, event, target, data, result, user, database, set"
15,0.35248057326144283,11,"data, information, service, target, user, processing, operation, analysis, obtain, result, equipment, corresponding, field, preset, work"
15,0.35248057326144283,12,"system, code, multi, modal, data, power, module, agent, application, interface, task, used, api, control, intelligent"
15,0.35248057326144283,13,"first, information, second, sample, task, text, target, question, result, dialogue, data, corresponding, obtain, training, set"
15,0.35248057326144283,14,"question, answer, query, data, text, statement, target, problem, user, answering, knowledge, questions, processing, corresponding, sql"
16,0.36496696997261296,0,"data, training, network, user, fine, text, improved, field, set, tuning, pre, security, using, module, generation"
16,0.36496696997261296,1,"one, data, first, may, user, least, using, input, llm, query, includes, generate, associated, systems, plurality"
16,0.36496696997261296,2,"point, image, matrix, first, key, semantic, text, instance, equipment, frame, description, object, obtain, term, computing"
16,0.36496696997261296,3,"text, information, target, description, recognition, data, voice, obtain, corresponding, document, prompt, intention, processing, improved, preset"
16,0.36496696997261296,4,"set, data, training, candidate, first, word, result, value, obtain, reasoning, medical, second, text, target, corpus"
16,0.36496696997261296,5,"knowledge, graph, entity, information, target, data, base, obtain, corresponding, text, generation, field, improved, constructing, relationship"
16,0.36496696997261296,6,"target, information, image, processing, field, technical, corresponding, object, equipment, obtain, obtaining, relates, determining, result, provides"
16,0.36496696997261296,7,"video, user, content, information, recommendation, audio, target, current, scene, generation, object, sequence, feature, corresponding, action"
16,0.36496696997261296,8,"text, target, information, control, risk, instruction, vehicle, first, event, obtain, obtaining, field, operation, performing, generation"
16,0.36496696997261296,9,"test, case, analysis, code, information, detection, medical, classification, function, generation, target, interaction, data, configuration, report"
16,0.36496696997261296,10,"retrieval, information, vector, text, document, obtain, user, result, demand, word, performing, corresponding, database, set, list"
16,0.36496696997261296,11,"data, information, service, user, target, operation, processing, analysis, corresponding, equipment, obtain, result, work, historical, preset"
16,0.36496696997261296,12,"system, code, interface, agent, application, user, data, api, prompt, communication, module, configured, information, software, client"
16,0.36496696997261296,13,"first, task, second, sample, target, text, information, training, obtain, dialogue, result, corresponding, data, plurality, set"
16,0.36496696997261296,14,"question, answer, query, data, text, target, statement, problem, user, answering, table, questions, knowledge, processing, corresponding"
16,0.36496696997261296,15,"image, feature, multi, data, modal, text, features, module, visual, evaluation, obtain, power, reasoning, training, vector"
17,0.3805192935670473,0,"training, data, learning, medical, patient, record, fine, chinese, trained, pre, time, tuning, improved, medicine, set"
17,0.3805192935670473,1,"one, data, first, may, least, using, includes, input, generate, plurality, user, query, llm, associated, systems"
17,0.3805192935670473,2,"matrix, reasoning, network, object, first, value, memory, point, key, weight, calculation, layer, communication, cache, attention"
17,0.3805192935670473,3,"text, image, information, target, description, document, vector, obtain, feature, audio, data, recognition, video, corresponding, voice"
17,0.3805192935670473,4,"data, set, training, first, candidate, word, text, obtain, sample, second, statement, prompt, classification, fine, query"
17,0.3805192935670473,5,"knowledge, graph, data, entity, base, target, information, field, obtain, retrieval, query, vector, constructing, improved, text"
17,0.3805192935670473,6,"target, information, technical, field, corresponding, determining, equipment, resource, processing, relates, intelligence, task, artificial, models, scheme"
17,0.3805192935670473,7,"content, video, user, information, recommendation, current, target, generation, corresponding, object, commodity, message, page, recommended, command"
17,0.3805192935670473,8,"text, target, medical, information, result, data, word, processing, obtain, query, field, first, diagnosis, index, medium"
17,0.3805192935670473,9,"code, test, control, information, interaction, case, agent, generation, function, analysis, time, vulnerability, detection, instruction, intelligent"
17,0.3805192935670473,10,"information, user, event, query, search, retrieval, report, security, database, generating, input, generation, data, list, related"
17,0.3805192935670473,11,"data, information, user, target, service, processing, operation, equipment, dialogue, analysis, result, corresponding, obtain, improved, business"
17,0.3805192935670473,12,"system, user, application, interface, data, agent, response, power, api, llm, prompt, management, client, platform, intelligent"
17,0.3805192935670473,13,"first, target, task, second, information, sample, text, result, sub, processing, corresponding, obtain, tool, sequence, intention"
17,0.3805192935670473,14,"question, answer, data, problem, user, questions, answering, table, answers, target, vector, knowledge, retrieval, corresponding, text"
17,0.3805192935670473,15,"multi, feature, modal, data, image, evaluation, features, module, text, obtain, result, visual, semantic, detection, training"
17,0.3805192935670473,16,"risk, data, voice, service, assessment, input, prompt, representation, time, speech, clinical, llm, signal, plurality, network"
18,0.36052556287422205,0,"data, training, fine, text, user, generation, set, tuning, field, retrieval, pre, network, document, improved, using"
18,0.36052556287422205,1,"one, data, first, may, user, least, using, input, llm, includes, generate, associated, query, plurality, systems"
18,0.36052556287422205,2,"matrix, point, image, first, key, semantic, fault, text, description, equipment, instance, corresponding, frame, weight, vector"
18,0.36052556287422205,3,"information, text, target, document, description, data, recognition, obtain, voice, prompt, corresponding, processing, preset, improved, medium"
18,0.36052556287422205,4,"set, data, training, candidate, word, first, value, result, obtain, second, text, target, reasoning, corpus, cue"
18,0.36052556287422205,5,"knowledge, graph, entity, data, target, information, base, corresponding, obtain, improved, description, text, constructing, node, field"
18,0.36052556287422205,6,"target, information, image, processing, technical, result, field, task, object, corresponding, obtain, equipment, relates, label, determining"
18,0.36052556287422205,7,"video, content, user, information, recommendation, target, corresponding, generation, feature, audio, current, object, vector, scene, commodity"
18,0.36052556287422205,8,"text, query, target, statement, information, result, vector, database, obtain, corresponding, medical, first, sql, field, generation"
18,0.36052556287422205,9,"test, detection, code, case, analysis, security, vulnerability, information, function, target, report, generation, script, data, improved"
18,0.36052556287422205,10,"retrieval, text, information, event, obtain, list, picture, set, performing, vector, demand, sequence, inspection, word, quality"
18,0.36052556287422205,11,"data, information, service, target, user, operation, analysis, processing, corresponding, equipment, obtain, dialogue, result, historical, work"
18,0.36052556287422205,12,"code, system, application, interface, power, data, user, api, agent, software, server, information, computing, program, prompt"
18,0.36052556287422205,13,"first, second, task, sample, information, target, result, data, text, training, obtain, set, dialogue, corresponding, sub"
18,0.36052556287422205,14,"question, answer, answering, user, target, questions, data, knowledge, problem, answers, processing, text, pair, improved, corresponding"
18,0.36052556287422205,15,"image, multi, modal, data, feature, text, evaluation, reasoning, module, training, visual, obtain, vector, result, set"
18,0.36052556287422205,16,"data, features, feature, processing, risk, obtain, text, semantic, layer, classification, detection, obtaining, plurality, problem, element"
18,0.36052556287422205,17,"instruction, user, interaction, intelligent, module, control, agent, information, operation, voice, data, robot, system, patient, action"
19,0.3611935117500547,0,"training, data, fine, tuning, pre, trained, using, learning, set, field, time, improved, text, domain, synthetic"
19,0.3611935117500547,1,"one, data, may, least, using, includes, user, first, input, generate, llm, plurality, query, associated, systems"
19,0.3611935117500547,2,"object, first, matrix, computing, communication, network, cloud, weight, second, calculation, data, energy, image, environment, point"
19,0.3611935117500547,3,"text, information, image, document, target, description, obtain, voice, vector, recognition, audio, corresponding, generation, processing, medium"
19,0.3611935117500547,4,"data, set, training, word, candidate, obtain, text, first, statement, value, sample, target, reasoning, second, prompt"
19,0.3611935117500547,5,"knowledge, graph, entity, data, vector, base, target, field, obtain, query, information, retrieval, text, corresponding, database"
19,0.3611935117500547,6,"target, information, task, resource, reasoning, field, technical, processing, corresponding, determining, layer, component, human, scheme, relates"
19,0.3611935117500547,7,"video, content, information, generation, recommendation, target, commodity, corresponding, description, short, broadcast, memory, frame, recommended, user"
19,0.3611935117500547,8,"text, target, word, information, control, translation, type, obtain, field, obtaining, equipment, result, medium, term, voice"
19,0.3611935117500547,9,"code, test, case, generation, function, information, security, vulnerability, analysis, time, detection, configuration, agent, generated, generating"
19,0.3611935117500547,10,"query, information, retrieval, event, user, database, word, report, result, template, cue, prompt, natural, material, input"
19,0.3611935117500547,11,"data, information, target, service, processing, analysis, equipment, operation, result, obtain, corresponding, user, business, improved, dialogue"
19,0.3611935117500547,12,"system, module, agent, user, application, data, llm, power, prompt, generates, grid, configured, intelligent, communication, management"
19,0.3611935117500547,13,"first, second, information, target, text, task, result, processing, sub, obtain, corresponding, prompt, dialogue, field, obtaining"
19,0.3611935117500547,14,"question, answer, data, problem, questions, table, answering, target, user, answers, corresponding, text, pair, error, field"
19,0.3611935117500547,15,"multi, image, feature, modal, data, evaluation, features, detection, module, text, result, obtain, performing, visual, fusion"
19,0.3611935117500547,16,"risk, data, voice, sequence, plurality, end, element, assessment, time, service, plan, token, input, llm, network"
19,0.3611935117500547,17,"user, instruction, interaction, information, interface, intelligent, operation, target, search, input, corresponding, request, demand, tool, task"
19,0.3611935117500547,18,"medical, training, sample, data, network, vehicle, label, record, patient, obtain, chinese, classification, text, learning, samples"
20,0.345918674899816,0,"data, training, fine, tuning, set, generation, evaluation, pre, improved, field, text, user, prediction, obtain, using"
20,0.345918674899816,1,"one, first, data, may, user, least, llm, using, input, includes, generate, system, associated, content, plurality"
20,0.345918674899816,2,"fault, point, frame, image, text, first, key, equipment, description, semantic, tree, graph, matrix, current, instance"
20,0.345918674899816,3,"text, information, target, data, recognition, voice, description, obtain, corresponding, document, content, prompt, processing, medium, improved"
20,0.345918674899816,4,"set, data, first, candidate, training, word, second, result, reasoning, value, obtain, target, corpus, text, cue"
20,0.345918674899816,5,"knowledge, graph, data, base, entity, target, information, obtain, corresponding, improved, domain, text, field, constructing, task"
20,0.345918674899816,6,"target, information, image, task, corresponding, processing, result, sub, field, technical, determining, equipment, node, obtaining, provides"
20,0.345918674899816,7,"user, information, recommendation, target, object, content, corresponding, vector, recommended, behavior, scene, feature, obtain, commodity, command"
20,0.345918674899816,8,"text, target, statement, first, generation, corresponding, information, content, sql, field, obtain, word, obtaining, least, medium"
20,0.345918674899816,9,"test, case, function, code, detection, information, generation, vulnerability, data, interaction, security, target, script, contract, time"
20,0.345918674899816,10,"information, query, retrieval, vector, document, text, result, database, obtain, data, event, user, target, performing, word"
20,0.345918674899816,11,"data, information, service, target, analysis, processing, operation, corresponding, user, equipment, result, field, work, obtain, preset"
20,0.345918674899816,12,"code, system, power, application, data, interface, agent, api, prompt, user, generation, inquiry, control, information, corresponding"
20,0.345918674899816,13,"first, question, second, task, information, target, sample, text, answer, result, dialogue, obtain, data, set, corresponding"
20,0.345918674899816,14,"question, answer, data, user, answering, target, text, questions, knowledge, processing, answers, improved, statement, problem, corresponding"
20,0.345918674899816,15,"image, multi, modal, data, text, feature, module, visual, evaluation, vector, obtain, reasoning, training, used, features"
20,0.345918674899816,16,"data, features, risk, processing, sequence, obtain, semantic, problem, feature, result, plurality, element, layer, obtaining, first"
20,0.345918674899816,17,"instruction, user, data, operation, task, information, interaction, search, control, intelligent, robot, tool, module, action, agent"
20,0.345918674899816,18,"medical, training, network, text, sample, record, patient, information, data, learning, obtain, electronic, target, trained, category"
20,0.345918674899816,19,"video, feature, audio, information, entity, image, resource, generation, description, obtain, demand, text, vehicle, human, first"
